Thu Oct 24 08:45:37 2024

Number of Points = 51018
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.000000	0.231554	0.000000	0.000146	0.497859

-1.324904	0.770281	0.003328	0.000467	0.497962
0.576738	0.128318	0.006656	0.000006	0.498156
-0.768057	0.636362	0.009983	0.000332	0.498159
0.464731	0.173268	0.013311	0.000033	0.498163
-0.513584	0.540535	0.016639	0.000270	0.498159
0.458564	0.175829	0.019967	0.000034	0.498164
-0.575013	0.566167	0.023294	0.000285	0.498166
0.627912	0.080844	0.026622	-0.000007	0.498083
-1.124318	0.717350	0.029950	0.000418	0.498021
0.704300	0.001201	0.033278	-0.000025	0.497950
-1.094036	0.638058	0.036606	0.000411	0.497845
0.111105	0.147028	0.039933	0.000119	0.497749
-0.670357	0.357338	0.043261	0.000308	0.497530
-0.887293	0.444475	0.046589	0.000361	0.497544
-0.676151	0.317566	0.049917	0.000309	0.497421
-1.501566	0.558665	0.053245	0.000509	0.497239
-0.629211	0.232101	0.056572	0.000298	0.497244
-1.457470	0.438661	0.059900	0.000499	0.496970
-1.300576	0.363276	0.063228	0.000461	0.496927
-1.673045	0.476777	0.066556	0.000551	0.496858
-1.048970	0.231781	0.069883	0.000400	0.496832
-2.039661	0.488997	0.073211	0.000640	0.496530
-1.080784	0.133627	0.076539	0.000408	0.496545
-2.693107	0.602306	0.079867	0.000798	0.496183
-1.689775	0.263202	0.083195	0.000555	0.496285
-2.877978	0.597917	0.086522	0.000843	0.495990
-2.073939	0.296357	0.089850	0.000648	0.495994
-2.649969	0.422480	0.093178	0.000788	0.495757
-2.434649	0.309207	0.096506	0.000736	0.495673
-2.721100	0.372496	0.099834	0.000805	0.495556
-2.434860	0.194147	0.103161	0.000736	0.495372
-3.462909	0.581195	0.106489	0.000985	0.495371
-1.938815	-0.079467	0.109817	0.000616	0.495146
-4.171915	0.678368	0.113145	0.001157	0.494927
-2.468598	0.010889	0.116472	0.000744	0.494860
-4.305981	0.661828	0.119800	0.001189	0.494752
-2.725985	0.001547	0.123128	0.000806	0.494582
-4.328314	0.548989	0.126456	0.001194	0.494434
-3.073073	-0.001196	0.129784	0.000890	0.494233
-4.986222	0.678629	0.133111	0.001354	0.494125
-2.842986	-0.196734	0.136439	0.000835	0.493948
-5.789956	0.864142	0.139767	0.001549	0.493817
-3.046890	-0.216670	0.143095	0.000884	0.493694
-5.907919	0.791627	0.146422	0.001577	0.493511
-3.474683	-0.157879	0.149750	0.000988	0.493426
-5.867044	0.652817	0.153078	0.001567	0.493187
-4.479321	0.128678	0.156406	0.001231	0.493184
-5.614225	0.443796	0.159734	0.001506	0.492889
-5.037431	0.227312	0.163061	0.001366	0.492891
-5.756829	0.493725	0.166389	0.001541	0.492879
-5.139292	0.165136	0.169717	0.001391	0.492627
-6.057341	0.493066	0.173045	0.001613	0.492580
-5.386916	0.158695	0.176373	0.001451	0.492365
-5.999205	0.350831	0.179700	0.001599	0.492264
-6.146901	0.339004	0.183028	0.001635	0.492086
-6.127259	0.282267	0.186356	0.001630	0.491956
-6.228002	0.288861	0.189684	0.001655	0.491874
-6.020905	0.119593	0.193011	0.001605	0.491634
-6.838222	0.353894	0.196339	0.001803	0.491440
-6.490535	0.181147	0.199667	0.001719	0.491330
-6.924181	0.302883	0.202995	0.001824	0.491220
-6.733496	0.159053	0.206323	0.001777	0.491031
-7.409616	0.413910	0.209650	0.001941	0.491031
-6.531016	0.002211	0.212978	0.001728	0.490818
-8.141779	0.567712	0.216306	0.002119	0.490709
-6.202117	-0.218209	0.219634	0.001649	0.490564
-8.941593	0.715838	0.222962	0.002312	0.490304
-6.742316	-0.102925	0.226289	0.001780	0.490331
-8.656198	0.531615	0.229617	0.002243	0.490102
-7.576585	0.108952	0.232945	0.001982	0.490060
-8.540320	0.373151	0.236273	0.002215	0.489799
-8.497357	0.356593	0.239600	0.002205	0.489798
-8.347779	0.214740	0.242928	0.002169	0.489572
-8.262308	0.148456	0.246256	0.002148	0.489482
-9.236983	0.508345	0.249584	0.002384	0.489462
-8.077837	-0.040920	0.252912	0.002103	0.489165
-9.911453	0.649609	0.256239	0.002547	0.489164
-8.082975	-0.132058	0.259567	0.002105	0.488919
-10.136182	0.613768	0.262895	0.002602	0.488845
-8.251526	-0.183289	0.266223	0.002145	0.488615
-10.464923	0.618505	0.269551	0.002682	0.488529
-8.164134	-0.358509	0.272878	0.002124	0.488238
-11.393969	0.830264	0.276206	0.002907	0.488162
-7.770552	-0.623290	0.279534	0.002029	0.487929
-12.481236	1.108572	0.282862	0.003170	0.487814
-7.951725	-0.625003	0.286189	0.002073	0.487744
-12.523681	1.039019	0.289517	0.003180	0.487587
-8.518102	-0.515685	0.292845	0.002210	0.487467
-12.151752	0.784655	0.296173	0.003090	0.487284
-9.635791	-0.199720	0.299501	0.002481	0.487188
-11.966492	0.635011	0.302828	0.003046	0.487072
-10.068805	-0.116215	0.306156	0.002586	0.486976
-11.971549	0.583478	0.309484	0.003047	0.486930
-10.386620	-0.094219	0.312812	0.002663	0.486716
-11.972745	0.481811	0.316139	0.003047	0.486658
-11.141335	0.068895	0.319467	0.002846	0.486393
-11.896256	0.338181	0.322795	0.003029	0.486353
-11.481299	0.088923	0.326123	0.002928	0.486106
-11.930321	0.236206	0.329451	0.003037	0.486047
-12.169565	0.230764	0.332778	0.003095	0.485792
-11.856542	0.089533	0.336106	0.003019	0.485731
-12.237165	0.139053	0.339434	0.003111	0.485480
-12.360265	0.159497	0.342762	0.003141	0.485411
-12.478560	0.119913	0.346090	0.003170	0.485187
-12.245588	-0.000466	0.349417	0.003113	0.485100
-13.207213	0.257136	0.352745	0.003346	0.484820
-12.638234	0.034494	0.356073	0.003208	0.484798
-13.603748	0.398188	0.359401	0.003442	0.484797
-12.172967	-0.268616	0.362728	0.003096	0.484457
-14.581218	0.586333	0.366056	0.003679	0.484316
-12.341974	-0.276201	0.369384	0.003137	0.484267
-14.994249	0.688532	0.372712	0.003779	0.484173
-12.455675	-0.330432	0.376040	0.003164	0.484007
-14.922887	0.545378	0.379367	0.003762	0.483862
-12.990156	-0.250038	0.382695	0.003294	0.483683
-15.407968	0.611845	0.386023	0.003880	0.483551
-13.255830	-0.258864	0.389351	0.003358	0.483392
-15.768115	0.673900	0.392679	0.003967	0.483353
-12.894212	-0.505689	0.396006	0.003271	0.483096
-16.125908	0.648819	0.399334	0.004054	0.482925
-13.439054	-0.408619	0.402662	0.003403	0.482805
-16.098244	0.520208	0.405990	0.004047	0.482608
-14.258934	-0.207700	0.409317	0.003601	0.482515
-15.843554	0.372535	0.412645	0.003985	0.482469
-14.685020	-0.161514	0.415973	0.003705	0.482208
-15.882770	0.279041	0.419301	0.003995	0.482179
-15.213879	-0.061583	0.422629	0.003833	0.481941
-16.336191	0.379261	0.425956	0.004105	0.481989
-15.492719	-0.045099	0.429284	0.003900	0.481703
-16.143931	0.191877	0.432612	0.004058	0.481680
-16.137746	0.076393	0.435940	0.004057	0.481376
-16.393917	0.171044	0.439267	0.004119	0.481371
-16.889974	0.264257	0.442595	0.004239	0.481119
-16.303486	0.025139	0.445923	0.004097	0.481070
-16.695806	0.091307	0.449251	0.004192	0.480851
-16.902672	0.131205	0.452579	0.004242	0.480748
-16.886756	0.069319	0.455906	0.004238	0.480598
-17.165636	0.122007	0.459234	0.004306	0.480456
-17.140496	0.109545	0.462562	0.004300	0.480448
-17.188088	0.033832	0.465890	0.004311	0.480196
-18.111955	0.359809	0.469218	0.004535	0.480136
-16.554974	-0.278957	0.472545	0.004158	0.479996
-18.606354	0.440334	0.475873	0.004655	0.479850
-16.237642	-0.517372	0.479201	0.004081	0.479676
-19.659080	0.663033	0.482529	0.004910	0.479380
-16.735029	-0.438764	0.485856	0.004201	0.479382
-19.438136	0.518994	0.489184	0.004856	0.479216
-17.507502	-0.256571	0.492512	0.004389	0.479087
-19.406781	0.387195	0.495840	0.004849	0.478892
-18.021627	-0.166605	0.499168	0.004513	0.478807
-19.984246	0.498791	0.502495	0.004989	0.478605
-18.253007	-0.154649	0.505823	0.004569	0.478603
-19.664076	0.376942	0.509151	0.004911	0.478602
-18.815491	-0.059917	0.512479	0.004706	0.478286
-19.802494	0.307798	0.515807	0.004945	0.478274
-18.941086	-0.116328	0.519134	0.004736	0.478005
-20.044305	0.286226	0.522462	0.005003	0.477969
-19.130752	-0.154987	0.525790	0.004782	0.477706
-20.186629	0.221955	0.529118	0.005038	0.477649
-19.207685	-0.283036	0.532445	0.004801	0.477281
-20.486715	0.218553	0.535773	0.005110	0.477333
-19.837013	-0.172573	0.539101	0.004953	0.476937
-20.684989	0.180382	0.542429	0.005159	0.477027
-20.045726	-0.215750	0.545757	0.005004	0.476606
-20.736648	0.066375	0.549084	0.005171	0.476665
-21.090469	0.105910	0.552412	0.005257	0.476410
-20.690094	-0.053493	0.555740	0.005160	0.476387
-21.534040	0.160135	0.559068	0.005364	0.476102
-20.939746	-0.063799	0.562395	0.005220	0.476103
-21.933209	0.199668	0.565723	0.005461	0.475801
-21.108100	-0.114693	0.569051	0.005261	0.475792
-22.732986	0.498847	0.572379	0.005655	0.475794
-20.716020	-0.311499	0.575707	0.005166	0.475658
-23.014594	0.494476	0.579034	0.005723	0.475493
-20.746860	-0.403089	0.582362	0.005174	0.475378
-23.654688	0.620778	0.585690	0.005878	0.475180
-20.979242	-0.414201	0.589018	0.005230	0.475109
-23.106662	0.298375	0.592346	0.005745	0.474864
-21.636544	-0.285865	0.595673	0.005389	0.474783
-23.542814	0.349108	0.599001	0.005851	0.474554
-21.974498	-0.273273	0.602329	0.005471	0.474470
-23.633621	0.273066	0.605657	0.005873	0.474253
-22.074025	-0.365768	0.608984	0.005495	0.474115
-24.001164	0.289572	0.612312	0.005962	0.473920
-22.287332	-0.407862	0.615640	0.005547	0.473780
-23.850243	0.125881	0.618968	0.005926	0.473628
-22.989711	-0.274576	0.622296	0.005717	0.473421
-23.823159	0.001215	0.625623	0.005919	0.473315
-23.840408	-0.106177	0.628951	0.005923	0.473004
-24.173337	0.020006	0.632279	0.006004	0.473006
-24.224112	-0.056119	0.635607	0.006016	0.472745
-24.830269	0.152958	0.638935	0.006163	0.472691
-24.183068	-0.129057	0.642262	0.006006	0.472587
-25.149733	0.227848	0.645590	0.006241	0.472567
-24.354548	-0.138349	0.648918	0.006048	0.472385
-24.904736	0.053249	0.652246	0.006181	0.472341
-25.106263	0.032641	0.655573	0.006230	0.472076
-24.939731	-0.030959	0.658901	0.006190	0.472074
-25.415569	0.032807	0.662229	0.006305	0.471757
-25.175441	-0.055487	0.665557	0.006247	0.471763
-25.085621	-0.187923	0.668885	0.006225	0.471493
-25.864153	0.092863	0.672212	0.006414	0.471457
-25.443168	-0.168213	0.675540	0.006312	0.471176
-26.237579	0.120047	0.678868	0.006504	0.471145
-25.658065	-0.187102	0.682196	0.006364	0.470902
-26.238742	0.007120	0.685524	0.006505	0.470834
-26.358075	-0.042227	0.688851	0.006533	0.470574
-25.987073	-0.201992	0.692179	0.006444	0.470520
-27.329744	0.194628	0.695507	0.006769	0.470218
-25.871848	-0.358084	0.698835	0.006416	0.470210
-28.112356	0.443785	0.702162	0.006958	0.470091
-25.688518	-0.484380	0.705490	0.006371	0.470052
-28.336359	0.461179	0.708818	0.007013	0.469906
-25.543172	-0.657960	0.712146	0.006336	0.469725
-29.351895	0.685151	0.715474	0.007259	0.469468
-25.623822	-0.731644	0.718801	0.006356	0.469438
-29.368984	0.621512	0.722129	0.007263	0.469275
-25.858823	-0.745333	0.725457	0.006413	0.469156
