Thu Oct 24 22:05:43 2024

Number of Points = 51000
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.000000	-0.035478	0.000000	-0.000025	0.501270

0.252466	-0.131924	0.003328	-0.000086	0.501267
-0.397042	0.113481	0.006656	0.000071	0.501269
-0.120207	0.000178	0.009984	0.000004	0.501246
-0.029312	-0.142327	0.013312	-0.000018	0.500966
0.163570	-0.215585	0.016640	-0.000065	0.500965
-0.119771	-0.229333	0.019968	0.000004	0.500654
-0.326887	-0.153113	0.023296	0.000054	0.500650
-0.448102	-0.207014	0.026624	0.000083	0.500393
0.051316	-0.426766	0.029952	-0.000038	0.500311
-0.101415	-0.480354	0.033280	-0.000001	0.500024
-0.288491	-0.514950	0.036608	0.000045	0.499752
-0.598649	-0.478363	0.039936	0.000120	0.499545
-0.637528	-0.528786	0.043264	0.000129	0.499376
-0.193017	-0.816420	0.046592	0.000021	0.499065
-0.182153	-0.951984	0.049920	0.000019	0.498724
-0.265360	-1.050724	0.053248	0.000039	0.498387
-0.559349	-1.067378	0.056576	0.000110	0.498057
-0.504197	-1.220086	0.059904	0.000097	0.497714
-0.439919	-1.391904	0.063232	0.000081	0.497331
-0.342314	-1.596189	0.066560	0.000058	0.496895
-0.615063	-1.660594	0.069888	0.000124	0.496460
-0.679678	-1.784451	0.073216	0.000139	0.496074
-0.742432	-1.941019	0.076544	0.000154	0.495604
-0.811244	-2.075463	0.079872	0.000171	0.495185
-0.655056	-2.316670	0.083200	0.000133	0.494709
-1.099126	-2.326064	0.086528	0.000241	0.494247
-1.159163	-2.494403	0.089856	0.000255	0.493747
-1.072633	-2.695333	0.093184	0.000234	0.493306
-1.059404	-2.909991	0.096512	0.000231	0.492756
-1.155628	-3.069107	0.099840	0.000254	0.492243
-1.626296	-3.072636	0.103168	0.000369	0.491768
-1.860717	-3.176030	0.106496	0.000425	0.491263
-1.819733	-3.354405	0.109824	0.000415	0.490834
-2.141948	-3.429127	0.113152	0.000493	0.490317
-6.570259	-1.843433	0.116480	0.001566	0.490098
-6.003583	-1.875109	0.119808	0.001429	0.490578
-4.234723	-2.597399	0.123136	0.001000	0.490431
-4.574438	-2.483649	0.126464	0.001082	0.490394
-7.682683	-1.293964	0.129792	0.001835	0.490442
-7.982655	-1.015644	0.133120	0.001908	0.490878
-5.110249	-2.043460	0.136448	0.001212	0.491023
-4.492976	-2.291051	0.139776	0.001063	0.490983
-4.966002	-2.218674	0.143104	0.001177	0.490705
-8.351427	-0.924681	0.146432	0.001997	0.490752
-7.462448	-1.085721	0.149760	0.001782	0.491211
-4.595142	-2.174016	0.153088	0.001087	0.491191
-3.919416	-2.563462	0.156416	0.000923	0.490836
-4.298682	-2.605459	0.159744	0.001015	0.490349
-7.985796	-1.293631	0.163072	0.001908	0.490144
-7.680469	-1.311645	0.166400	0.001834	0.490400
-5.683900	-2.060810	0.169728	0.001351	0.490409
-4.583077	-2.577415	0.173056	0.001084	0.490141
