Fri Oct 25 01:47:51 2024

Number of Points = 51000
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.000000	-0.212047	0.000000	-0.000138	0.500977

-0.021682	-0.205477	0.003328	-0.000132	0.500973
-0.216909	-0.242498	0.006656	-0.000085	0.500688
-0.097363	-0.302427	0.009984	-0.000114	0.500649
-0.329180	-0.300568	0.013312	-0.000058	0.500429
-0.285898	-0.354436	0.016640	-0.000069	0.500332
-0.393418	-0.413513	0.019968	-0.000043	0.500075
-0.432044	-0.440974	0.023296	-0.000033	0.499966
-0.521995	-0.496303	0.026624	-0.000011	0.499735
-0.448854	-0.616382	0.029952	-0.000029	0.499496
-0.444639	-0.720177	0.033280	-0.000030	0.499232
-0.339005	-0.867021	0.036608	-0.000056	0.498954
-0.680353	-0.857358	0.039936	0.000027	0.498646
-0.606295	-0.985395	0.043264	0.000009	0.498387
-0.534156	-1.143427	0.046592	-0.000009	0.498047
-0.473559	-1.299167	0.049920	-0.000023	0.497702
-0.377934	-1.472335	0.053248	-0.000047	0.497346
-0.507190	-1.605697	0.056576	-0.000015	0.496872
-0.671646	-1.692992	0.059904	0.000025	0.496484
-0.719340	-1.835062	0.063232	0.000036	0.496067
-0.542367	-2.091913	0.066560	-0.000007	0.495571
-0.527436	-2.275080	0.069888	-0.000010	0.495108
-0.690853	-2.410903	0.073216	0.000029	0.494592
-0.582079	-2.656703	0.076544	0.000003	0.494056
-0.734547	-2.808815	0.079872	0.000040	0.493508
-0.856420	-2.961185	0.083200	0.000069	0.492988
-0.925569	-3.156328	0.086528	0.000086	0.492407
-0.981781	-3.351097	0.089856	0.000100	0.491840
-0.909688	-3.602966	0.093184	0.000082	0.491249
-1.101341	-3.763101	0.096512	0.000129	0.490637
-1.412967	-3.870580	0.099840	0.000204	0.490044
-1.080184	-4.219034	0.103168	0.000123	0.489455
-1.112908	-4.457655	0.106496	0.000131	0.488792
-0.789459	-4.840456	0.109824	0.000053	0.488101
-0.934908	-5.076819	0.113152	0.000088	0.487329
-1.242437	-5.232166	0.116480	0.000163	0.486609
-1.486754	-5.403073	0.119808	0.000222	0.485909
-1.172183	-5.800314	0.123136	0.000146	0.485167
-1.040247	-6.137313	0.126464	0.000114	0.484401
-1.309754	-6.352210	0.129792	0.000179	0.483555
-1.744367	-6.472089	0.133120	0.000284	0.482796
-1.957309	-6.669514	0.136448	0.000336	0.482052
-1.492987	-7.122806	0.139776	0.000224	0.481305
-1.456240	-7.456800	0.143104	0.000215	0.480444
-1.719731	-7.679054	0.146432	0.000279	0.479578
-2.270258	-7.767387	0.149760	0.000412	0.478779
-2.392464	-8.005978	0.153088	0.000442	0.478010
-2.240578	-8.356803	0.156416	0.000405	0.477215
-2.247244	-8.659079	0.159744	0.000406	0.476388
-6.269815	-7.420853	0.163072	0.001381	0.475632
-7.050214	-7.067490	0.166400	0.001570	0.475793
-5.080928	-7.924944	0.169728	0.001093	0.475480
-6.805059	-7.380692	0.173056	0.001510	0.475193
-9.092974	-6.520838	0.176384	0.002065	0.475185
-7.746475	-7.001244	0.179712	0.001738	0.475260
-6.378350	-7.547795	0.183040	0.001407	0.475176
-5.640351	-7.948083	0.186368	0.001228	0.474844
-8.655163	-6.916822	0.189696	0.001958	0.474557
-10.273229	-6.223406	0.193024	0.002350	0.474784
-8.487418	-6.767019	0.196352	0.001918	0.475138
-6.504701	-7.622506	0.199680	0.001437	0.474844
-6.659643	-7.688788	0.203008	0.001475	0.474505
-10.173416	-6.450196	0.206336	0.002326	0.474270
-11.006972	-5.973897	0.209664	0.002528	0.474712
-8.632097	-6.808469	0.212992	0.001952	0.474878
-7.105081	-7.448455	0.216320	0.001582	0.474703
-7.261054	-7.603837	0.219648	0.001620	0.474119
-10.267936	-6.538242	0.222976	0.002349	0.473933
-11.499092	-5.982924	0.226304	0.002647	0.474182
-9.279814	-6.692958	0.229632	0.002109	0.474528
-6.714357	-7.833478	0.232960	0.001488	0.474056
-7.034282	-7.893861	0.236288	0.001565	0.473562
-10.472000	-6.780789	0.239616	0.002398	0.473062
-11.196308	-6.397465	0.242944	0.002573	0.473363
-8.664057	-7.417782	0.246272	0.001960	0.473184
-7.117022	-8.113731	0.249600	0.001585	0.472877
-7.565475	-8.204109	0.252928	0.001694	0.472166
-10.708961	-7.167597	0.256256	0.002455	0.471759
-13.178771	-6.174298	0.259584	0.003053	0.471929
-10.977655	-6.857056	0.262912	0.002520	0.472333
-10.459360	-7.145863	0.266240	0.002394	0.472077
-8.803443	-7.836539	0.269568	0.001993	0.471896
-12.858549	-6.445278	0.272896	0.002976	0.471518
-12.827981	-6.298184	0.276224	0.002968	0.471953
-11.968716	-6.576493	0.279552	0.002760	0.472079
-10.182412	-7.287797	0.282880	0.002327	0.471975
-10.987203	-7.136707	0.286208	0.002522	0.471558
-12.288303	-6.686691	0.289536	0.002837	0.471446
-13.096617	-6.347231	0.292864	0.003033	0.471542
-11.465046	-6.961315	0.296192	0.002638	0.471545
-10.891938	-7.227901	0.299520	0.002499	0.471407
-8.847411	-8.201712	0.302848	0.002003	0.470850
-12.157889	-7.121669	0.306176	0.002805	0.470388
-12.507496	-7.047718	0.309504	0.002890	0.470229
-14.133738	-6.378295	0.312832	0.003284	0.470383
-9.670676	-8.149565	0.316160	0.002203	0.470141
-11.691377	-7.568611	0.319488	0.002692	0.469643
-11.429035	-7.824067	0.322816	0.002629	0.469211
-15.865175	-6.161551	0.326144	0.003703	0.469183
-13.216179	-7.106161	0.329472	0.003061	0.469333
-14.307290	-6.652347	0.332800	0.003326	0.469450
-10.170744	-8.358915	0.336128	0.002324	0.469046
-14.819110	-6.749401	0.339456	0.003450	0.468650
-16.238294	-6.156729	0.342784	0.003793	0.468809
-17.547452	-5.450335	0.346112	0.004110	0.469396
-13.597635	-6.870393	0.349440	0.003153	0.469588
-11.429410	-7.782442	0.352768	0.002628	0.469328
-12.940798	-7.464843	0.356096	0.002994	0.468632
-15.329833	-6.554114	0.359424	0.003573	0.468659
-15.341935	-6.584546	0.362752	0.003576	0.468563
-12.829787	-7.517801	0.366080	0.002967	0.468602
-11.731139	-8.190540	0.369408	0.002701	0.467888
-13.375533	-7.761885	0.372736	0.003099	0.467359
-16.887926	-6.532817	0.376064	0.003950	0.467094
-16.250466	-6.660823	0.379392	0.003796	0.467406
-15.596924	-6.905603	0.382720	0.003637	0.467411
-12.158912	-8.286354	0.386048	0.002805	0.467178
-15.906964	-7.114452	0.389376	0.003713	0.466508
-16.356098	-6.909445	0.392704	0.003821	0.466607
-19.028125	-5.882338	0.396032	0.004469	0.466661
