Thu Oct 24 23:59:39 2024

Number of Points = 51000
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.000000	0.236257	0.000000	0.000086	0.500345

-0.265141	0.333242	0.003328	0.000150	0.500338
-0.111681	0.278856	0.006656	0.000113	0.500347
0.076722	0.209829	0.009984	0.000067	0.500352
0.258744	0.138427	0.013312	0.000023	0.500345
-0.157075	0.276088	0.016640	0.000124	0.500296
-0.260005	0.214514	0.019968	0.000148	0.500037
-0.120603	0.157334	0.023296	0.000115	0.500025
0.105300	0.074028	0.026624	0.000060	0.500030
-0.095846	0.057573	0.029952	0.000109	0.499791
-0.181740	0.070111	0.033280	0.000129	0.499740
-0.487687	0.096903	0.036608	0.000203	0.499511
-0.223392	-0.036438	0.039936	0.000139	0.499424
0.023153	-0.227361	0.043264	0.000080	0.499170
0.088184	-0.347931	0.046592	0.000064	0.498922
-0.193301	-0.367121	0.049920	0.000132	0.498597
-0.319636	-0.410795	0.053248	0.000163	0.498360
-0.128240	-0.601184	0.056576	0.000116	0.498053
0.003199	-0.788862	0.059904	0.000084	0.497695
-0.083089	-0.893306	0.063232	0.000105	0.497339
-0.443174	-0.897606	0.066560	0.000192	0.496975
-0.364834	-1.061788	0.069888	0.000173	0.496624
-0.093358	-1.327337	0.073216	0.000108	0.496199
-0.322638	-1.399194	0.076544	0.000163	0.495787
-0.423422	-1.536666	0.079872	0.000188	0.495329
-0.678573	-1.607733	0.083200	0.000249	0.494892
-0.757340	-1.729132	0.086528	0.000268	0.494497
-0.810789	-1.889776	0.089856	0.000281	0.494025
-0.704172	-2.088229	0.093184	0.000256	0.493610
-0.582904	-2.340197	0.096512	0.000226	0.493069
-0.760266	-2.469098	0.099840	0.000269	0.492556
-0.740409	-2.665754	0.103168	0.000264	0.492059
-0.724677	-2.892756	0.106496	0.000261	0.491478
-0.783980	-3.094504	0.109824	0.000275	0.490888
-0.765002	-3.324194	0.113152	0.000270	0.490301
-0.681346	-3.593991	0.116480	0.000250	0.489672
