Fri Oct 25 00:50:27 2024

Number of Points = 51000
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.000000	-0.048843	0.000000	-0.000027	0.498779

-0.168777	0.018226	0.003328	0.000014	0.498788
-0.540588	0.157246	0.006656	0.000104	0.498785
-0.654498	0.203947	0.009984	0.000131	0.498795
-0.381004	0.102008	0.013312	0.000065	0.498798
-0.140686	-0.105424	0.016640	0.000007	0.498495
-0.391807	-0.014557	0.019968	0.000068	0.498486
-1.027168	0.228145	0.023296	0.000222	0.498494
-0.993328	0.212987	0.026624	0.000213	0.498488
-0.472048	-0.089217	0.029952	0.000087	0.498214
-0.228398	-0.220563	0.033280	0.000028	0.498111
-0.532878	-0.201360	0.036608	0.000102	0.497863
-0.830837	-0.160080	0.039936	0.000174	0.497679
-1.056736	-0.121298	0.043264	0.000229	0.497559
-0.401951	-0.451887	0.046592	0.000070	0.497341
-0.228726	-0.635076	0.049920	0.000028	0.497034
-0.357241	-0.721127	0.053248	0.000059	0.496684
-0.998596	-0.614421	0.056576	0.000215	0.496333
-0.784967	-0.786782	0.059904	0.000163	0.496093
-0.605736	-0.981691	0.063232	0.000119	0.495761
-0.254784	-1.280118	0.066560	0.000034	0.495328
-0.833371	-1.216897	0.069888	0.000175	0.494923
-1.019854	-1.284566	0.073216	0.000220	0.494563
-0.949519	-1.454382	0.076544	0.000203	0.494188
-0.771327	-1.704453	0.079872	0.000160	0.493709
-0.638380	-1.920895	0.083200	0.000127	0.493273
-0.618224	-2.134225	0.086528	0.000122	0.492733
-1.018422	-2.184237	0.089856	0.000219	0.492206
-1.223598	-2.280309	0.093184	0.000269	0.491750
-1.283315	-2.447744	0.096512	0.000284	0.491251
-0.764824	-2.832542	0.099840	0.000158	0.490752
-0.742246	-3.073598	0.103168	0.000153	0.490139
-0.979206	-3.218267	0.106496	0.000210	0.489521
-1.380102	-3.300718	0.109824	0.000307	0.488903
-1.239237	-3.576305	0.113152	0.000273	0.488315
-1.106599	-3.866957	0.116480	0.000241	0.487677
-1.211153	-4.076567	0.119808	0.000266	0.487016
-1.243857	-4.315556	0.123136	0.000274	0.486348
-1.558171	-4.451577	0.126464	0.000350	0.485671
-1.894277	-4.560057	0.129792	0.000432	0.485044
-1.854824	-4.810323	0.133120	0.000422	0.484416
-2.334709	-4.875392	0.136448	0.000539	0.483759
-12.693987	-0.957201	0.139776	0.003048	0.483794
-6.708107	-2.827685	0.143104	0.001598	0.484826
-8.396336	-2.153025	0.146432	0.002007	0.484928
-5.351902	-3.231220	0.149760	0.001269	0.485113
-9.919819	-1.456722	0.153088	0.002376	0.485254
-7.637956	-2.133269	0.156416	0.001823	0.485743
-8.372346	-1.751842	0.159744	0.002001	0.486022
-5.247682	-2.889582	0.163072	0.001244	0.486129
-7.418859	-2.101165	0.166400	0.001770	0.486049
-8.981033	-1.469845	0.169728	0.002148	0.486162
-9.657725	-1.056274	0.173056	0.002312	0.486584
-6.580170	-2.098608	0.176384	0.001566	0.486897
-7.166946	-1.963290	0.179712	0.001708	0.486669
-6.515206	-2.208350	0.183040	0.001551	0.486671
-8.309555	-1.533562	0.186368	0.001985	0.486667
-6.120069	-2.415106	0.189696	0.001455	0.486517
-6.633390	-2.299002	0.193024	0.001579	0.486311
-5.719619	-2.784846	0.196352	0.001358	0.485935
-7.707133	-2.112533	0.199680	0.001839	0.485731
-7.530211	-2.234504	0.203008	0.001796	0.485584
-8.397591	-1.969153	0.206336	0.002006	0.485420
-5.997938	-2.915120	0.209664	0.001425	0.485309
-6.466421	-2.893072	0.212992	0.001539	0.484897
-7.293479	-2.724242	0.216320	0.001739	0.484516
-9.753684	-1.808553	0.219648	0.002335	0.484485
-9.121902	-2.047318	0.222976	0.002182	0.484483
