x,F1_total
-200.0,-3.151721086022808e-14
-197.9591836734694,-6.359475666432105e-14
-195.91836734693877,-9.681984229007338e-14
-193.87755102040816,-1.3124798656904537e-13
-191.83673469387756,-1.669384415044848e-13
-189.79591836734693,-2.0395456987723042e-13
-187.75510204081633,-2.4236428333865996e-13
-185.71428571428572,-2.8224055542401713e-13
-183.6734693877551,-3.2366202851150516e-13
-181.6326530612245,-3.6671374014718743e-13
-179.59183673469389,-4.1148800319434595e-13
-177.55102040816325,-4.580854872482209e-13
-175.51020408163265,-5.066165677254229e-13
-173.46938775510205,-5.572030372784798e-13
-171.42857142857142,-6.09980317100104e-13
-169.3877551020408,-6.651003723745734e-13
-167.3469387755102,-7.227356423896284e-13
-165.30612244897958,-7.830844698621008e-13
-163.26530612244898,-8.463788080946903e-13
-161.22448979591837,-9.128954992363248e-13
-159.18367346938777,-9.82973354631283e-13
-157.14285714285714,-1.057040058169279e-12
-155.10204081632654,-1.1356565217454095e-12
-153.0612244897959,-1.2195940835513009e-12
-151.0204081632653,-1.30997800607857e-12
-148.9795918367347,-1.4085771217596502e-12
-146.9387755102041,-1.5184546648194917e-12
-144.89795918367346,-1.645662786152422e-12
-142.85714285714286,-1.8047377063122867e-12
-140.81632653061223,-2.0447494174406163e-12
-138.77551020408163,-2.7794172328015304e-12
-136.73469387755102,-0.0036833333357256795
-134.69387755102042,-0.007366666668161924
-132.6530612244898,-0.00736666666832741
-130.6122448979592,-0.0073666666685463745
-128.57142857142856,-0.007366666668963961
-126.53061224489795,-0.011050000001974996
-124.48979591836735,-0.014733333334773623
-122.44897959183673,-0.014733333334932671
-120.40816326530611,-0.014733333335102752
-118.36734693877551,-0.014733333335285596
-116.3265306122449,-0.014733333335483562
-114.28571428571428,-0.01473333333570038
-112.24489795918367,-0.014733333335942525
-110.20408163265306,-0.01473333333622373
-108.16326530612244,-0.014733333336584458
-106.12244897959184,-0.01473333333727547
-104.08163265306122,-0.018416666670421158
-102.0408163265306,-0.022100000003264928
-100.0,-0.02210000000366294
-97.95918367346938,-0.022100000004163463
-95.91836734693878,-0.022100000004922227
-93.87755102040816,-0.022100000023938977
-91.83673469387755,-0.03315000002292435
-89.79591836734694,-0.04420000000374471
-87.75510204081633,-0.04420000000503565
-85.71428571428571,-0.047883333338888695
-83.6734693877551,-0.05525000000604069
-81.63265306122449,-0.06630000000505876
-79.59183673469387,-0.07366666667060635
-77.55102040816327,-0.08103333333700934
-75.51020408163265,-0.08840000000308573
-73.46938775510203,-0.08840000000406126
-71.42857142857142,-0.08840000000616015
-69.38775510204081,-0.09208333334119849
-67.34693877551021,-0.09945000000823963
-65.30612244897958,-0.10681666667533699
-63.265306122448976,-0.11418333334136704
-61.22448979591837,-0.11786666667812
-59.18367346938774,-0.1289166666801246
-57.14285714285714,-0.14733333334216098
-55.102040816326536,-0.1547000000075448
-53.061224489795904,-0.15470000001294149
-51.0204081632653,-0.1620666666809383
-48.9795918367347,-0.1694333333518007
-46.93877551020407,-0.18416666668589385
-44.897959183673464,-0.20258333334675843
-42.85714285714286,-0.20626666668325952
-40.81632653061223,-0.213633333352495
-38.77551020408163,-0.22100000002240672
-36.734693877551024,-0.2283666666933536
-34.69387755102039,-0.24310000002894858
-32.65306122448979,-0.25046666670096196
-30.612244897959187,-0.25415000004275523
-28.571428571428555,-0.26520000005055144
-26.530612244897952,-0.2799333333918368
-24.48979591836735,-0.2873000000724011
-22.448979591836718,-0.2909833334288181
-20.408163265306115,-0.32045000012395664
-18.367346938775512,-0.394116666824786
-16.32653061224488,-0.5046166668790568
-14.285714285714278,-0.6924666669475107
-12.244897959183675,-0.9650333337544349
-10.204081632653043,-1.6354000007062217
-8.16326530612244,-3.267116667615665
-6.122448979591837,-5.83440000091402
-4.081632653061206,-8.692666667388677
-2.040816326530603,-11.340983333740903
0.0,-13.838283333297312
